Lp.,Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Poprawna odp,Media,Kategorie,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Pytanie [ENG],Odpowiedź A [ENG],Odpowiedź B [ENG],Odpowiedź C [ENG],Pytanie [DE],Odpowiedź A [DE],Odpowiedź B [DE],Odpowiedź C [DE],Pytanie [UA],Odpowiedź A [UA],Odpowiedź B [UA],Odpowiedź C [UA],MediaTag
2957,10953,Czy w tej sytuacji masz obowiązek zawczasu sygnalizować zamiar wykonania manewru?,,,,Tak,16  17  22.webm,AM,,,,,Are you obliged  in this situation  to signal in advance your intention to manoeuvre?,,,,Sollen Sie in dieser Situation die Ausführung eines Manövers zeitgerecht signalisieren?,,,,,,,,"<video src=""16  17  22.webm"" controls>"
2958,10954,Czy w tej sytuacji masz obowiązek sprawdzenia  czy inny pojazd nie nadjeżdża pasem ruchu  na który chcesz wjechać?,,,,Tak,16  17  22.webm,AM,,,,,Are you obliged  in this situation  to ensure that no other vehicle is approaching from the lane you intend to drive into?,,,,Sollen Sie sich in dieser Situation vergewissern  dass kein anderes Fahrzeug auf der Spur fährt  die Sie befahren möchten?,,,,,,,,"<video src=""16  17  22.webm"" controls>"
2959,10955,Czy przejeżdżając obok widocznego przystanku tramwajowego  należy zachować szczególną ostrożność?,,,,Tak,18  33  39.webm,AM,,,,,Should you exercise extreme caution when passing by the visible tram stop?,,,,Soll man beim Vorbeifahren an dieser Straßenbahnhaltestelle besonders vorsichtig sein?,,,,,,,,"<video src=""18  33  39.webm"" controls>"
2960,10956,Czy przejeżdżając obok widocznego przystanku autobusowego  należy zachować szczególną ostrożność?,,,,Nie,19.webm,AM,,,,,Should you exercise extreme caution when passing by the visible bus stop?,,,,Wenn man an dieser Bushaltestelle vorbeifährt  soll man besonders vorsichtig sein?,,,,,,,,"<video src=""19.webm"" controls>"
2961,10960,Jak postąpi policjant  jeżeli podczas kontroli drogowej ujawni  że przekroczyłeś prędkość o więcej niż 50 km/h w obszarze zabudowanym  ale było to związane z ratowaniem ludzkiego życia?,Zatrzyma prawo jazdy.,Pouczy i skieruje na egzamin kontrolny.,Nie zatrzyma prawa jazdy.,C,,B C D B1 C1 D1,,,,,What will a police officer do if  during a roadside inspection it is established that you have exceeded the speed limit by more than 50 km/h in a built-up area  but this was done in order to save someone's life?,Withhold your driving licence.,Caution and refer you to take a control exam.,Will not withhold your driving licence.,Wie wird der Polizist vorgehen  falls er bei der Verkehrskontrolle feststellt  dass Sie die Geschwindigkeit um über 50 km/h über die zulässige Höchstgeschwindigkeit in geschlossener Ortschaft überschritten haben aber diese Tat mit der Rettung menschlichen Lebens verbunden war?,Ein behält den Führerschein ein.,Er belehrt Sie und schickt Sie zur Kontrollprüfung.,Er behält Ihren Führerschein nicht ein.,"Що робитиме поліцейський  якщо під час перевірки на дорозі виявить  що Ви перевищили швидкість більш ніж на 50 км/год у зоні  обмеженій знаками ""початок забудови населеного пункту"" і ""кінець забудови населеного пункту""  але це було пов’язано з рятуванням людського життя?",Він забере у Вас посвідчення водія.,Він проведе інструктаж і направить Вас на контрольний іспит.,Він не буде позбавляти Вас водійського посвідчення.,
2962,10961,Jak postąpi policjant  jeżeli podczas kontroli drogowej ujawni  że przekroczyłeś prędkość o więcej niż 50 km/h w obszarze zabudowanym  ale było to związane z ratowaniem ludzkiego życia?,Zatrzyma prawo jazdy.,Skieruje na dodatkowe szkolenie.,Odstąpi od zatrzymania prawa jazdy.,C,,B C D B1 C1 D1,,,,,What will happen if a police officer discovers during a roadside inspection that you have exceeded the speed limit by more than 50 km/h in a built-up area  but that this was done in order to save somebody's life?,The police officer will withhold your driving licence.,The Police officer will refer you to an instructor for additional training.,The police officer will refrain from retaining your driving licence.,Wie wird der Polizist vorgehen  falls er bei der Verkehrskontrolle feststellt  dass Sie die Geschwindigkeit um über 50 km/h über die zulässige Höchstgeschwindigkeit in geschlossener Ortschaft überschritten haben aber diese Tat mit der Rettung menschlichen Lebens verbunden war?,Er behält den Führerschein ein.,Er schickt Sie zu einer zusätzlichen Schulung.,Er verzichtet auf den Einbehalt des Führerscheins.,"Що робитиме поліцейський  якщо під час перевірки на дорозі виявить  що Ви перевищили швидкість більш ніж на 50 км/год у зоні  обмеженій знаками ""початок забудови населеного пункту"" і ""кінець забудови населеного пункту""  але це було пов’язано з рятуванням людського життя?",Він забере у Вас посвідчення водія.,Направить Вас на додаткове навчання.,Він не буде позбавляти Вас водійського посвідчення.,
2963,10962,Czy w tej sytuacji masz obowiązek zachować bezpieczny odstęp od omijanych pojazdów?,,,,Tak,20  21  23.webm,AM,,,,,In this situation  are you obliged to keep a safe distance from the vehicles you are passing by?,,,,Sollen Sie in dieser Situation einen sicheren Abstand von umfahrenen Fahrzeugen einhalten?,,,,,,,,"<video src=""20  21  23.webm"" controls>"
2964,10963,Czy w trakcie omijania pojazdu stojącego na pasie  którym się poruszasz  powinieneś zachować szczególną ostrożność?,,,,Tak,16  17  22.webm,AM,,,,,Should you exercise extreme caution when avoiding a vehicle parked on the lane you are driving?,,,,Wenn Sie ein auf der Spur angehaltenes Fahrzeug umfahren  sollen Sie besonders vorsichtig sein?,,,,,,,,"<video src=""16  17  22.webm"" controls>"
2965,10966,Czy podczas wymijania  w razie potrzeby  jesteś zobowiązany zjechać na prawo?,,,,Tak,24  25  27.webm,AM,,,,,Are you obliged  if necessary  to go to the right when driving past?,,,,Sollen Sie beim Umfahren je nach Bedarf rechts abfahren?,,,,,,,,"<video src=""24  25  27.webm"" controls>"
2966,10969,Czy przewożenie na przednim siedzeniu pojazdu dziecka o wzroście co najmniej 135 cm  zabezpieczonego jedynie pasami bezpieczeństwa  jest dozwolone?,Tak  ponieważ przepisy na to zezwalają  jeżeli ze względu na masę dziecka nie jest możliwe zapewnienie urządzenia przytrzymującego dla dziecka.,Nie  ponieważ przepisy dotyczące przewozu dzieci zezwalają na przewóz dzieci o wzroście co najmniej 135 cm bez fotelika lub innego urządzenia przytrzymującego dziecko tylko na tylnym siedzeniu pojazdu.,Tak  jeżeli pojazd nie jest wyposażony w tylne siedzenia.,B,,C,pjm10969.webm,pjm10969a.webm,pjm10969b.webm,pjm10969c.webm,Is it permitted to carry a child at least 135 cm tall and protected only by seat belts in the front seat of a vehicle?,Yes  because the rules permit it if it is impossible to provide a child restraint system due to the weight of the child.,No  because the rules on the transport of children permit the transport of children at least 135 cm tall without a safety seat or other child restraint system only in the rear seat of the vehicle.,Yes  if the vehicle is not equipped with rear seats.,Ist es erlaubt  auf dem Vordersitz ein nur mittels Sicherheitsgurte abgesichertes Kind mit der Mindestgröße 135 cm zu transportieren?,Ja  weil die Vorschriften dies erlauben  falls wegen des Körpergewichts des Kindes kein festhaltendes Gerät verwendet werden kann.,Nein  die Vorschriften bezüglich der Kinderbeförderung erlauben den Transport der Kinder mit der Mindestgröße 135 cm ohne einen Kindersitz bzw. ein anderes festhaltendes Gerät nur auf dem Rücksitz.,Ja  soweit das Fahrzeug Rücksitze hat.,,,,,
2967,10971,Czy na tym odcinku drogi dozwolone jest cofanie czterokołowcem lekkim?,,,,Tak,28.webm,AM,,,,,Is it permissible to reverse a light quadricycle on this section of the road?,,,,Darf man auf dieser Strecke mit einem leichten Quad rückwärts fahren?,,,,,,,,"<video src=""28.webm"" controls>"
2968,10972,Czy na moście dozwolone jest cofanie czterokołowcem lekkim?,,,,Nie,29.webm,AM,,,,,Is it permitted to reverse a light quadricycle on the bridge?,,,,Darf man auf einer Brücke mit einem leichten Quad rückwärts fahren?,,,,,,,,"<video src=""29.webm"" controls>"
2969,10973,Czy podczas wykonywania tego manewru czterokołowcem lekkim musisz zachować szczególna ostrożność?,,,,Tak,30.webm,AM,,,,,Must you exercise extreme caution when performing this manoeuvre with a light quadricycle?,,,,Soll man beim Ausführen dieses Manövers mit einem leichten Quad besonders vorsichtig sein?,,,,,,,,"<video src=""30.webm"" controls>"
2970,10974,Czy w tych warunkach drogowych  podczas jazdy motorowerem lub czterokołowcem lekkim  możesz używać świateł do jazdy dziennej?,,,,Nie,31  41  45.webm,AM,,,,,Can you use daytime running lights in these road conditions  when driving a motorbike or light quadricycle?,,,,Dürfen Sie in diesen Verkehrsbedingungen beim Fahren mit einem Moped bzw. einem leichten Quad das Tagfahrlicht nutzen?,,,,,,,,"<video src=""31  41  45.webm"" controls>"
2971,10976,Czy podczas jazdy motorowerem w ciągu dnia  od świtu do zmierzchu  przy dobrej przejrzystości powietrza  możesz używać świateł do jazdy dziennej  zamiast świateł mijania?,,,,Tak,33.webm,AM,,,,,When driving a moped during the day  from dawn to dusk  with good air clarity  can you use daytime running lights instead of dipped beam lights?,,,,Dürfen Sie beim Mopedfahren am Tag  von Morgen- bis Abenddämmerung bei guter Sicht das Tagfahrlicht statt Abblendlicht nutzen?,,,,,,,,"<video src=""33.webm"" controls>"
2972,10979,Czy w pogarszających się warunkach atmosferycznych  kierujący motorowerem może używać świateł do jazdy dziennej?,,,,Nie,36.webm,AM,,,,,Can a moped driver use daytime running lights in deteriorating weather conditions?,,,,Darf der Mopedfahrer bei den sich verschlechternden Wetterbedingungen das Tagfahrlicht nutzen?,,,,,,,,"<video src=""36.webm"" controls>"
2973,10980,Czy na tym odcinku drogi  kierując czterokołowcem lekkim  możesz używać świateł drogowych?,,,,Nie,32  37.webm,AM,,,,,Can you use high beam lights on this stretch of road when driving a light quadricycle?,,,,Darf man auf dieser Strecke beim Fahren mit einem leichten Quad das Fernlicht nutzen?,,,,,,,,"<video src=""32  37.webm"" controls>"
2974,10981,Czy przejeżdżając obok jadącego sąsiednim pasem autobusu powinieneś użyć sygnału dźwiękowego?,,,,Nie,9  38.webm,AM,,,,,Should you use the sound signal when driving past the bus in the adjacent lane?,,,,Wenn Sie an einem auf benachbarten Fahrstreifen fahrenden Bus vorbeikommen  sollten Sie Hupe gebrauchen?,,,,,,,,"<video src=""9  38.webm"" controls>"
2975,10982,Czy w tej sytuacji  zbliżając się do przejścia dla pieszych  powinieneś użyć sygnału dźwiękowego lub świetlnego?,,,,Nie,18  33  39.webm,AM,,,,,In this situation  should you use the sound or light signal when approaching the pedestrian crossing?,,,,Wenn Sie sich in der Situation dem Fußgängerüberweg nähern  sollten Sie Hupe bzw. Lichthupe gebrauchen?,,,,,,,,"<video src=""18  33  39.webm"" controls>"
2976,10983,Czy na tym odcinku drogi  kierując motorowerem niewyposażonym w światła do jazdy dziennej  możesz używać świateł pozycyjnych?,,,,Nie,14  35  40  44.webm,AM,,,,,Can you use position lights on this section of the road when driving a motorbike not equipped with daytime running lights?,,,,Dürfen Sie auf diesem Straßenabschnitt beim Fahren mit einem Moped ohne Taghfahrlicht Standlicht gebrauchen?,,,,,,,,"<video src=""14  35  40  44.webm"" controls>"
